1.1.1			
Παρθενών			the Parthenon
Ἀθήνης	Αθῆνη	Case: genitive, Gender: feminine, Number: singular	Athena
1.1.2			
Ἀθήνη	Ἀθῆναι	Case: nominative, Gender: feminine, Number: singular	the city of Athens
ἦν	εἰμί	Aspect: imperfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: active	to be
Ἀθηναίων	Ἀθηναῖος	Case: genitive, Degree: positive, Gender: masculine, Number: plural	Athenian, Athenian citizen
θεός	θεός	Case: nominative, Gender: masculine, Number: singular	god
1.1.3			
Διὸς	Ζεύς	Case: genitive, Gender: masculine, Number: singular	Zeus
ἦν	εἰμί		
1.1.4			
Ἀθηναίοις	Ἀθηναῖος	Case: dative, Degree: positive, Gender: masculine, Number: plural	Athenian, of Athens
πολλοὶ	πολύς	Case: nominative, Degree: positive, Gender: masculine, Number: plural	much, many
θεοὶ	θεός	Case: nominative, Gender: masculine, Number: plural	god
ἦσαν	εἰμί	Aspect: imperfective, Mood: indicative, Number: plural, Person: third, Tense: past, VerbForm: finite, Voice: active	to be
1.1.5			
ἐστι	εἰμί	Mood: indicative, Number: singular, Person: third, Tense: present, VerbForm: finite, Voice: active	to be
μαρμάρινον	μαρμάρινος	Case: nominative, Degree: positive, Gender: neuter, Number: singular	made of marble
1.1.6			
Πεντελικὸν	Πεντελικός	Case: nominative, Degree: positive, Gender: neuter, Number: singular	Mt Pentele or Pentelicon
πορίζει	πορίζω	Mood: indicative, Number: singular, Person: third, Tense: present, VerbForm: finite, Voice: active	to provide, supply
1.1.7			
Πεντελικόν	Πεντελικός	Case: nominative, Degree: positive, Gender: neuter, Number: singular	Mt Pentele or Pentelicon
ὄρους	ὄρος	Case: genitive, Gender: neuter, Number: singular	a mountain, hill
1.1.8			
λεύκοί	λεύκος	Case: nominative, Degree: positive, Gender: masculine, Number: plural	white
1.1.9			
λιθοτομίαι	λιθοτομία	Case: nominative, Gender: feminine, Number: plural	a quarry
πορίζουσι	πορίζω	Mood: indicative, Number: plural, Person: third, Tense: present, VerbForm: finite, Voice: active	to provide, supply
1.2.1			
Ἕλλησιν	Ἕλλην	Case: dative, Gender: masculine, Number: plural	a Greek
1.2.2			
Ἀθηναῖοι	Ἀθηναῖος	Case: nominative, Degree: positive, Gender: masculine, Number: plural	Athenian, of Athens
μάλιστα	μάλα	Degree: superlative	very, very much, exceedingly
ἐτίμων	τιμάω	Aspect: imperfective, Mood: indicative, Number: plural, Person: third, Tense: past, VerbForm: finite, Voice: active	to honor; to value something at a price (gen.)
1.2.3			
κωμῳδίας	κωμῳδία	Case: accusative, Gender: feminine, Number: plural	a comedy
τραγῳδίας	τραγῳδία	Case: accusative, Gender: feminine, Number: plural	a tragedy
ἐποίουν	ποιέω	Aspect: imperfective, Mood: indicative, Number: plural, Person: third, Tense: past, VerbForm: finite, Voice: active	to make, to do
1.2.4			
Σοφοκλῆς	Σοφοκλῆς	Case: nominative, Gender: masculine, Number: singular	Sophocles
ἐκείνων	ἐκεῖνος	Case: genitive, Gender: masculine, Number: plural	that over there, that
Ἀριστοφάνης	Ἀριστοφάνης	Case: nominative, Gender: masculine, Number: singular	Aristophanes
ἦν	εἰμί	Aspect: imperfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: active	to be
εὔδοξος	εὔδοξος	Case: nominative, Gender: masculine, Number: singular	of good repute, honoured, famous, glorious
1.2.5			
Πλούσιός	Πλούσιος	Case: nominative, Gender: masculine, Number: singular	
ἀνὴρ	ἀνήρ	Case: nominative, Gender: masculine, Number: singular	a man
ἐχορήγει	ἐχορήγω	Aspect: imperfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: active	
1.2.6			
πολῖται	πολίτης	Case: nominative, Gender: masculine, Number: plural	(fellow) citizen
ἀθρόοι	ἀθρόος	Case: nominative, Degree: positive, Gender: masculine, Number: plural	in crowds, massed together
ἐφοίτων	φοιτάω	Aspect: imperfective, Mood: indicative, Number: plural, Person: third, Tense: past, VerbForm: finite, Voice: active	to go to and fro, up and down, to stalk
θέατρον	θέατρων	Case: accusative, Gender: neuter, Number: singular	
1.2.7			
Πρῶτον	πρῶτος	Case: accusative, Gender: neuter, Number: singular	first
δύο	δύο		
ἔπειτα	ἔπειτα		then, next
τρεῖς	τρεῖς	Case: nominative, Gender: masculine, Number: plural	three
ἦσαν	εἰμί	Aspect: imperfective, Mood: indicative, Number: plural, Person: third, Tense: past, VerbForm: finite, Voice: active	to be
ὑποκριταί	ὑποκριταία	Case: nominative, Gender: masculine, Number: plural	
1.2.8			
ὑποκριταὶ	ὑποκριτής	Case: nominative, Gender: masculine, Number: plural	an interpreter, actor
πρόσωπα	πρόσωπον	Case: accusative, Gender: neuter, Number: plural	the face, visage, countenance
ἐφόρουν	φορούνω	Aspect: imperfective, Mood: indicative, Number: plural, Person: third, Tense: past, VerbForm: finite, Voice: active	
1.2.9			
πρόσωπα	πρόσωπον	Case: nominative, Gender: neuter, Number: plural	the face, visage, countenance
παντοῖα	παντοῖος	Case: nominative, Degree: positive, Gender: neuter, Number: plural	of all sorts
ἦν	εἰμί	Aspect: imperfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: active	to be
θαυμάσια	θαυμάσιος	Case: nominative, Degree: positive, Gender: neuter, Number: plural	wondrous, wonderful, marvellous
1.3.0			
Arms	Arms	Case: genitive, Degree: positive, Gender: masculine, Number: singular	
1.3.1			
ὁπλίτης	ὁπλίτης	Case: nominative, Gender: masculine, Number: singular	heavy-armed, armed
ὅπλα	ὅπλον	Case: accusative, Gender: neuter, Number: plural	a tool, implement, (pl.) arms, weapons
ἔφερε	φέρω	Aspect: imperfective, Mood: indicative, Number: singular, Person: third, Tense: past, VerbForm: finite, Voice: active	to bear
πολλὰ	πολύς	Case: accusative, Degree: positive, Gender: neuter, Number: plural	much, many
βαρέα	βαρύς	Case: accusative, Degree: positive, Gender: neuter, Number: plural	heavy
1.3.2			
κνημῖδες	κνημίς	Case: nominative, Gender: feminine, Number: plural	a greave
φυλάσσουσι	φυλάσσω	Mood: indicative, Number: plural, Person: third, Tense: present, VerbForm: finite, Voice: active	to keep watch and ward, keep guard
κνήμας	κνῆμα	Case: accusative, Gender: feminine, Number: plural	
1.3.3			
Χαλξοῦς	Χαλξοῦς	Case: genitive, Gender: feminine, Number: singular	
θώραξ	θώραξ	Case: nominative, Gender: feminine, Number: singular	a breastplate, cuirass, corslet
σώζει	σῴζω	Mood: indicative, Number: singular, Person: third, Tense: present, VerbForm: finite, Voice: active	to save, keep
στέρνον	στέρνον	Case: accusative, Gender: neuter, Number: singular	the breast, chest
1.3.4			
κεφαλὴ	κεφαλή	Case: nominative, Gender: feminine, Number: singular	the head
φέρει	φέρω	Mood: indicative, Number: singular, Person: third, Tense: present, VerbForm: finite, Voice: active	to bear
κράνος	κράνος	Case: accusative, Gender: neuter, Number: singular	a helmet
χαλκοῦν	χαλκός	Case: accusative, Gender: masculine, Number: singular	copper
1.3.5			
Ἵππιοι	Ἵππιον	Case: nominative, Gender: masculine, Number: plural	
λόφοι	λόφος	Case: nominative, Gender: masculine, Number: plural	neck, crest of hill, ridge, crest of a helmet
ἐπινεύουσιν	ἐπινεύω	Mood: indicative, Number: plural, Person: third, Tense: present, VerbForm: finite, Voice: active	to nod
κράνει	κράνεια	Case: dative, Gender: neuter, Number: singular	the cornel-tree, dog-wood
1.3.6			
