2.1.0	2.1.0	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Orpheus	Orpheus	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [singular]}	
2.1.1	2.1.1	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Ὀρφεὺς	Ὀρφεύς	{Case: [nominative], Gender: [masculine], Number: [singular]}	Orpheus
πολὺ	πολύς	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [singular]}	much, many
ἐτιμήθη	τιμάω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [passive]}	to honor; to value something at a price (gen.)
πάλαι·	πάλαι	{Case: [dative], Gender: [masculine], Number: [plural]}	long ago, in olden time, in days of yore, in time gone by
λύραν	λύρα	{Case: [accusative], Gender: [feminine], Number: [singular]}	lyre
χρυσῆν	χρυσή	{Case: [accusative], Gender: [feminine], Number: [singular]}	
εἶχε	ἔχω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	have, hold; be able; (+ adv.) be; (mid.) cling to, be next to (+ gen.)
δῶρον	δῶρον	{Case: [accusative], Gender: [neuter], Number: [singular]}	a gift, present
Ἀπόλλωνος·	Ἀπόλλων	{Case: [genitive], Gender: [masculine], Number: [singular]}	Apollo
Μοῦσαι	Μοῦσαι	{Case: [nominative], Gender: [masculine], Number: [plural]}	
αὐτὸν	αὐτός	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	unemph. 3rd pers.pronoun; -self; [the] same 
ἐδίδαξαν	διδάσκω	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to teach
λύραν	λύρα	{Case: [accusative], Gender: [feminine], Number: [singular]}	lyre
ψάλλειν,	ψάλλω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	to touch sharply, to pluck, pull, twitch
μακροῦ	μακρός	{Case: [genitive], Degree: [positive], Gender: [neuter], Number: [singular]}	long
ἐμπειρότατος	ἐμπείρος	{Case: [nominative], Degree: [superlative], Gender: [masculine], Number: [singular]}	
ἐγένετο	γίγνομαι	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	become, be born
τέχνης,	τέχνη	{Case: [genitive], Gender: [feminine], Number: [singular]}	art, skill, craft in work, cunning of hand
τοσοῦτον	τοσοῦτος	{Case: [accusative], Gender: [neuter], Number: [singular]}	so large, so tall
ἧκεν	ἥκω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to have come, be present, be here
ἐπιστήμης	ἐπιστήμη	{Case: [genitive], Gender: [feminine], Number: [singular]}	knowledge, skill
θέλγειν	ἐθέλγω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	
μόνον	μόνος	{Case: [accusative], Degree: [positive], Gender: [neuter], Number: [singular]}	alone, left alone, forsaken solitary
ζῷα	ζῷον	{Case: [accusative], Gender: [neuter], Number: [plural]}	a living being, animal
δένδρα	δένδρον	{Case: [nominative], Gender: [neuter], Number: [plural]}	a tree
μουσικῇ.	μουσικός	{Case: [dative], Degree: [positive], Gender: [feminine], Number: [singular]}	 musical, skilled in music, elegant
θῆρες,	θῆρυς	{Case: [nominative], Gender: [masculine], Number: [plural]}	
λέγουσιν,	λέγω	{Mood: [indicative], Number: [plural], Person: [third], Tense: [present], VerbForm: [finite], Voice: [active]}	to say, tell, speak; epic and arch.: pick, gather
ἀκούσαντες	ἀκούω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [active]}	to hear
μέλος	μέλος	{Case: [accusative], Gender: [neuter], Number: [singular]}	a limb; a phrase of song; a song
Ὀρφεῖ	Ὀρφείς	{Case: [dative], Gender: [masculine], Number: [singular]}	
ἠκολούθουν.	ἀκολουθέω	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to follow
2.1.2	ὅ.εις	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	
Ἐκεῖνος	Ἐκεῖνος	{Case: [nominative], Gender: [masculine], Number: [singular]}	
ξυνέσπετο	ξυμπίπτω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	
