2.1.0	2.1.0	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Orpheus	Orpheus	{Case: [genitive], Degree: [positive], Gender: [masculine], Number: [singular]}	
2.1.1	2.1.1	{Case: [genitive], Gender: [masculine], Number: [singular]}	
Ὀρφεὺς	Ὀρφεύς	{Case: [nominative], Gender: [masculine], Number: [singular]}	Orpheus
πάλαι·	πάλαι	{Case: [dative], Gender: [masculine], Number: [plural]}	long ago, in olden time, in days of yore, in time gone by
λύραν	λύρα	{Case: [accusative], Gender: [feminine], Number: [singular]}	lyre
χρυσῆν	χρυσή	{Case: [accusative], Gender: [feminine], Number: [singular]}	
δῶρον	δῶρον	{Case: [accusative], Gender: [neuter], Number: [singular]}	a gift, present
Ἀπόλλωνος·	Ἀπόλλων	{Case: [genitive], Gender: [masculine], Number: [singular]}	Apollo
Μοῦσαι	Μοῦσαι	{Case: [nominative], Gender: [masculine], Number: [plural]}	
ψάλλειν,	ψάλλω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	to touch sharply, to pluck, pull, twitch
ἐμπειρότατος	ἐμπείρος	{Case: [nominative], Degree: [superlative], Gender: [masculine], Number: [singular]}	
θέλγειν	ἐθέλγω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	
δένδρα	δένδρον	{Case: [nominative], Gender: [neuter], Number: [plural]}	a tree
μουσικῇ.	μουσικός	{Case: [dative], Degree: [positive], Gender: [feminine], Number: [singular]}	 musical, skilled in music, elegant
θῆρες,	θῆρυς	{Case: [nominative], Gender: [masculine], Number: [plural]}	
μέλος	μέλος	{Case: [accusative], Gender: [neuter], Number: [singular]}	a limb; a phrase of song; a song
Ὀρφεῖ	Ὀρφείς	{Case: [dative], Gender: [masculine], Number: [singular]}	
ἠκολούθουν.	ἀκολουθέω	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to follow
2.1.2	ὅ.εις	{Case: [accusative], Gender: [masculine], Number: [singular], Person: [third], PrononimalType: [personal]}	
Ἐκεῖνος	Ἐκεῖνος	{Case: [nominative], Gender: [masculine], Number: [singular]}	
ξυνέσπετο	ξυμπίπτω	{Aspect: [imperfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	
Ἰάσονι	Ἰάσων	{Case: [dative], Gender: [masculine], Number: [singular]}	Jason
Ἀργοναύταις,	Ἀργοναύτης	{Case: [dative], Gender: [masculine], Number: [plural]}	a sailor in the ship Argo, an Argonaut
εὐτυχήσαντες	εὐτυχέω	{Aspect: [perfective], Case: [nominative], Gender: [masculine], Number: [plural], Tense: [past], VerbForm: [participle], Voice: [active]}	to be well off, successful, prosperous
ἐστρατεύοντο	στρατεύω	{Aspect: [imperfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [middle]}	to serve in war, serve as a soldier, do military service, take the field, march
χρυσοῦν	χρύσεος	{Case: [accusative], Degree: [positive], Gender: [masculine], Number: [singular]}	golden, of gold, decked
πόκον	πόκος	{Case: [accusative], Gender: [masculine], Number: [singular]}	wool
κατῆλθον,	κατέρχομαι	{Aspect: [perfective], Mood: [indicative], Number: [plural], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to go down from; return from exile
Θρᾴκῃ	Θρᾴκη	{Case: [dative], Gender: [feminine], Number: [singular]}	Thrace
κατῴκησεν.	κατοικέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to settle; to inhabit
ἔγημεν	γαμέω	{Aspect: [perfective], Mood: [indicative], Number: [singular], Person: [third], Tense: [past], VerbForm: [finite], Voice: [active]}	to marry
νύμφην	νύμφη	{Case: [accusative], Gender: [feminine], Number: [singular]}	a young wife, bride
Εὐρυδίκην·	Εὐρυδίκην	{Case: [accusative], Gender: [feminine], Number: [singular]}	
ἀλλ	ἀλλ	{}	
ὄφεως	ὄφις	{Case: [genitive], Gender: [masculine], Number: [singular]}	a serpent, snake
δηχθεῖσα	δηχόω	{Aspect: [perfective], Case: [nominative], Gender: [feminine], Number: [singular], Tense: [past], VerbForm: [participle], Voice: [passive]}	
βαρέως	βαρέως	{Degree: [positive]}	
ᾍδου	ὦδος	{Case: [genitive], Gender: [masculine], Number: [singular]}	
μετ	μετ	{Aspect: [perfective], Tense: [past], VerbForm: [infinitive], Voice: [active]}	
κατιέναι.	κατοναίνω	{Tense: [present], VerbForm: [infinitive], Voice: [active]}	
